"Ach! Hans, Run!"|G,R|{2}{R}{R}{G}{G}
"Gatorade™ Ice Punch"|G|{2}{G}
"Rumors of My Death . . ."|B|{2}{B}
1996 World Champion|B,G,R,U,W|{W}{U}{B}{R}{G}
A Display of My Dark Power||
A Good Thing|B,W|{4}{W}{B}
A Reckoning Approaches||
AWOL|W|{2}{W}
Abandon Hope|B|{X}{1}{B}
Abandon Reason|R|{2}{R}
Abandoned Outpost|W|
Abandoned Sarcophagus||{3}
Abattoir Ghoul|B|{3}{B}
Abbey Gargoyles|W|{2}{W}{W}{W}
Abbey Griffin|W|{3}{W}
Abbey Matron|W|{2}{W}
Abbot of Keral Keep|R|{1}{R}
Abduction|U|{2}{U}{U}
Aberrant Researcher // Perfected Form|U|{3}{U}
Abeyance|W|{1}{W}
Abhorrent Overlord|B|{5}{B}{B}
Abian, Luvion Usurper|G,R|{5}{R}{G}
Abjure|U|{U}
Abnormal Endurance|B|{1}{B}
Abolish|W|{1}{W}{W}
Abominable Treefolk|G,U|{2}{G}{U}
Abomination|B|{3}{B}{B}
Abomination of Gudul|B,G,U|{3}{B}{G}{U}
Abomination of Llanowar|B,G|{1}{B}{G}
Aboroth|G|{4}{G}{G}
Aboshan's Desire|U|{U}
Aboshan, Cephalid Emperor|U|{4}{U}{U}
About Face|R|{R}
Abrade|R|{1}{R}
Abrupt Decay|B,G|{B}{G}
Absolute Grace|W|{1}{W}
Absolute Law|W|{1}{W}
Absolver Thrull|W|{3}{W}
Absorb|U,W|{W}{U}{U}
Absorb Identity|U|{1}{U}
Absorb Vis|B|{6}{B}
Abstract Iguanart|R|{1}{R}
Abstruse Interference|U|{2}{U}
Abu Ja'far|W|{W}
Abuna Acolyte|W|{1}{W}
Abuna's Chant|W|{3}{W}
Abundance|G|{2}{G}{G}
Abundant Growth|G|{G}
Abundant Maw|B|{8}
Abyssal Gatekeeper|B|{1}{B}
Abyssal Horror|B|{4}{B}{B}
Abyssal Hunter|B|{3}{B}
Abyssal Nightstalker|B|{3}{B}
Abyssal Nocturnus|B|{1}{B}{B}
Abyssal Persecutor|B|{2}{B}{B}
Abyssal Specter|B|{2}{B}{B}
Abzan Advantage|W|{1}{W}
Abzan Ascendancy|B,G,W|{W}{B}{G}
Abzan Banner|B,G,W|{3}
Abzan Battle Priest|W|{3}{W}
Abzan Beastmaster|G|{2}{G}
Abzan Charm|B,G,W|{W}{B}{G}
Abzan Falconer|W|{2}{W}
Abzan Guide|B,G,W|{3}{W}{B}{G}
Abzan Kin-Guard|G|{3}{G}
Abzan Runemark|W|{2}{W}
Abzan Skycaptain|W|{3}{W}
Academy Drake|U|{2}{U}
Academy Elite|U|{3}{U}
Academy Journeymage|U|{4}{U}
Academy Raider|R|{2}{R}
Academy Rector|W|{3}{W}
Academy Researchers|U|{1}{U}{U}
Academy Ruins|U|
Academy at Tolaria West||
Accelerate|R|{1}{R}
Accelerated Mutation|G|{3}{G}{G}
Acceptable Losses|R|{3}{R}
Accessories to Murder||
Acclaimed Contender|W|{2}{W}
Accomplished Automaton||{7}
Accorder Paladin|W|{1}{W}
Accorder's Shield||{0}
Accumulated Knowledge|U|{1}{U}
Accursed Centaur|B|{B}
Accursed Horde|B|{3}{B}
Accursed Spirit|B|{3}{B}
Accursed Witch // Infectious Curse|B|{3}{B}
Acid Rain|U|{3}{U}
Acid Web Spider|G|{3}{G}{G}
Acid-Spewer Dragon|B|{5}{B}
Acidic Dagger||{4}
