Abomination of Llanowar
Aboshan, Cephalid Emperor
Acornelia, Fashionable Filcher
Adamaro, First to Desire
Adeliz, the Cinder Wind
Admiral Beckett Brass
Adriana, Captain of the Guard
Adun Oakenshield
Aesi, Tyrant of Gyre Strait
Agrus Kos, Wojek Veteran
Akim, the Soaring Wind
Akiri, Fearless Voyager
Akiri, Line-Slinger
Akki Lavarunner // Tok-Tok, Volcano Born
Akroma, Angel of Fury
Akroma, Angel of Wrath
Akroma, Vision of Ixidor
Akuta, Born of Ash
Alela, Artful Provocateur
Alena, Kessig Trapper
Alesha, Who Smiles at Death
Alexander Clamilton
Alexi, Zephyr Mage
Alhammarret, High Arbiter
Alharu, Solemn Ritualist
Alirios, Enraptured
Alrund, God of the Cosmos // Hakka, Whispering Raven
Amareth, the Lustrous
Ambassador Laquatus
Anafenza, Kin-Tree Spirit
Anafenza, the Foremost
Anara, Wolvid Familiar
Anax and Cymede
Anax, Hardened in the Forge
Angus Mackenzie
Animar, Soul of Elements
Anje Falkenrath
Anowon, the Ruin Sage
Anowon, the Ruin Thief
Anthousa, Setessan Hero
Anya, Merciless Angel
Aphemia, the Cacophony
Arahbo, Roar of the World
Arashi, the Sky Asunder
Arasta of the Endless Web
Araumi of the Dead Tide
Arcades Sabboth
Arcades, the Strategist
Arcanis the Omnipotent
Archangel Avacyn // Avacyn, the Purifier
Archelos, Lagoon Mystic
Arcum Dagsson
Ardenn, Intrepid Archaeologist
Arixmethes, Slumbering Isle
Arjun, the Shifting Flame
Armix, Filigree Thrasher
Arvad the Cursed
Aryel, Knight of Windgrace
Ascendant Evincar
Ashaya, Soul of the Wild
Ashling the Pilgrim
Ashling, the Extinguisher
Asmira, Holy Avenger
Atalya, Samite Master
Atarka, World Render
Atemsis, All-Seeing
Athreos, God of Passage
Athreos, Shroud-Veiled
Atla Palani, Nest Tender
Atogatog
Atraxa, Praetors' Voice
Atris, Oracle of Half-Truths
Aurelia, Exemplar of Justice
Aurelia, the Warleader
Autumn Willow
Avacyn, Angel of Hope
Avacyn, Guardian Angel
Averna, the Chaos Bloom
Axelrod Gunnarson
Ayara, First of Locthwain
Ayesha Tanaka
Ayli, Eternal Pilgrim
Ayula, Queen Among Bears
Ayumi, the Last Visitor
Azami, Lady of Scrolls
Azor, the Lawbringer
Azusa, Lost but Seeking
Baird, Steward of Argive
Balan, Wandering Knight
Balthor the Defiled
Balthor the Stout
Baral, Chief of Compliance
Barktooth Warbeard
Baron Sengir
Baron Von Count
Barrin, Master Wizard
Barrin, Tolarian Archmage
Bartel Runeaxe
Baru, Fist of Krosa
Basandra, Battle Seraph
Belbe, Corrupted Observer
Bell Borca, Spectral Sergeant
Ben-Ben, Akki Hermit
Bladewing the Risen
Blim, Comedic Genius
Blind Seer
Bontu the Glorified
Borborygmos
Borborygmos Enraged
Boris Devilboon
Bosh, Iron Golem
Bounteous Kirin
Brago, King Eternal
Braids, Cabal Minion
Braids, Conjurer Adept
Brallin, Skyshark Rider
Breeches, Brazen Plunderer
Breya, Etherium Shaper
Brigid, Hero of Kinsbaile
Brimaz, King of Oreskos
Brinelin, the Moon Kraken
Brion Stoutarm
Brisela, Voice of Nightmares
Brokkos, Apex of Forever
Brothers Yamazaki
